name,type,start_time,duration,"data","error"
"Async TX","data",0.085491,0.000082,"\0","framing"
"Async TX","data",0.8369995,0.000082,"d",
"Async TX","data",0.837086,0.000082,"i",
"Async TX","data",0.837173,0.000082,"m",
"Async TX","data",0.8372595,0.000082,"s",
"Async TX","data",0.8373465,0.000082,"=",
"Async TX","data",0.837433,0.000082,"2",
"Async TX","data",0.83752,0.000082,"5",
"Async TX","data",0.8376065,0.000082,"ÿ",
"Async TX","data",0.8376935,0.000082,"ÿ",
"Async TX","data",0.8377805,0.000082,"ÿ",
"Async TX","data",0.939957,0.000082,"p",
"Async TX","data",0.9400435,0.000082,"a",
"Async TX","data",0.9401305,0.000082,"g",
"Async TX","data",0.940217,0.000082,"e",
"Async TX","data",0.940304,0.000082," ",
"Async TX","data",0.9403905,0.000082,"0",
"Async TX","data",0.9404775,0.000082,"ÿ",
"Async TX","data",0.940564,0.000082,"ÿ",
"Async TX","data",0.940651,0.000082,"ÿ",
"Async TX","data",1.042914,0.000082,"t",
"Async TX","data",1.0430005,0.000082,"7",
"Async TX","data",1.0430875,0.000082,".",
"Async TX","data",1.043174,0.000082,"t",
"Async TX","data",1.043261,0.000082,"x",
"Async TX","data",1.0433475,0.000082,"t",
"Async TX","data",1.0434345,0.000082,"=",
"Async TX","data",1.043521,0.000082,"""",
"Async TX","data",1.043608,0.000082,"V",
"Async TX","data",1.0436945,0.000082,"2",
"Async TX","data",1.0437815,0.000082,".",
"Async TX","data",1.043868,0.000082,"0",
"Async TX","data",1.043955,0.000082,"2",
"Async TX","data",1.0440415,0.000082,"""",
"Async TX","data",1.0441285,0.000082,"ÿ",
"Async TX","data",1.044215,0.000082,"ÿ",
"Async TX","data",1.044302,0.000082,"ÿ",
"Async TX","data",1.0545825,0.000082,"t",
"Async TX","data",1.054669,0.000082,"8",
"Async TX","data",1.054756,0.000082,".",
"Async TX","data",1.0548425,0.000082,"t",
"Async TX","data",1.0549295,0.000082,"x",
"Async TX","data",1.055016,0.000082,"t",
"Async TX","data",1.055103,0.000082,"=",
"Async TX","data",1.0551895,0.000082,"""",
"Async TX","data",1.0552765,0.000082,"F",
"Async TX","data",1.055363,0.000082,"1",
"Async TX","data",1.05545,0.000082,".",
"Async TX","data",1.0555365,0.000082,"0",
"Async TX","data",1.0556235,0.000082,"5",
"Async TX","data",1.05571,0.000082,"""",
"Async TX","data",1.055797,0.000082,"ÿ",
"Async TX","data",1.055884,0.000082,"ÿ",
"Async TX","data",1.0559705,0.000082,"ÿ",
"Async TX","data",1.066243,0.000082,"t",
"Async TX","data",1.06633,0.000082,"1",
"Async TX","data",1.0664165,0.000082,".",
"Async TX","data",1.0665035,0.000082,"t",
"Async TX","data",1.06659,0.000082,"x",
"Async TX","data",1.066677,0.000082,"t",
"Async TX","data",1.0667635,0.000082,"=",
"Async TX","data",1.0668505,0.000082,"""",
"Async TX","data",1.0669375,0.000082,"S",
"Async TX","data",1.067024,0.000082,"""",
"Async TX","data",1.067111,0.000082,"ÿ",
"Async TX","data",1.0671975,0.000082,"ÿ",
"Async TX","data",1.0672845,0.000082,"ÿ",
"Async TX","data",1.0775565,0.000082,"t",
"Async TX","data",1.077643,0.000082,"2",
"Async TX","data",1.07773,0.000082,".",
"Async TX","data",1.0778165,0.000082,"t",
"Async TX","data",1.0779035,0.000082,"x",
"Async TX","data",1.07799,0.000082,"t",
"Async TX","data",1.078077,0.000082,"=",
"Async TX","data",1.0781635,0.000082,"""",
"Async TX","data",1.0782505,0.000082,"W",
"Async TX","data",1.078337,0.000082,"""",
"Async TX","data",1.078424,0.000082,"ÿ",
"Async TX","data",1.0785105,0.000082,"ÿ",
"Async TX","data",1.0785975,0.000082,"ÿ",
"Async TX","data",1.088874,0.000082,"t",
"Async TX","data",1.088961,0.000082,"3",
"Async TX","data",1.0890475,0.000082,".",
"Async TX","data",1.0891345,0.000082,"t",
"Async TX","data",1.0892215,0.000082,"x",
"Async TX","data",1.089308,0.000082,"t",
"Async TX","data",1.089395,0.000082,"=",
"Async TX","data",1.0894815,0.000082,"""",
"Async TX","data",1.0895685,0.000082,"R",
"Async TX","data",1.0896555,0.000082,"""",
"Async TX","data",1.089742,0.000082,"ÿ",
"Async TX","data",1.089829,0.000082,"ÿ",
"Async TX","data",1.089916,0.000082,"ÿ",
"Async TX","data",1.100192,0.000082,"t",
"Async TX","data",1.100279,0.000082,"4",
"Async TX","data",1.1003655,0.000082,".",
"Async TX","data",1.1004525,0.000082,"t",
"Async TX","data",1.1005395,0.000082,"x",
"Async TX","data",1.100626,0.000082,"t",
"Async TX","data",1.100713,0.000082,"=",
"Async TX","data",1.1007995,0.000082,"""",
"Async TX","data",1.1008865,0.000082,"5",
"Async TX","data",1.1009735,0.000082,"""",
"Async TX","data",1.10106,0.000082,"ÿ",
"Async TX","data",1.101147,0.000082,"ÿ",
"Async TX","data",1.1012335,0.000082,"ÿ",
"Async TX","data",1.111517,0.000082,"t",
"Async TX","data",1.1116035,0.000082,"5",
"Async TX","data",1.1116905,0.000082,".",
"Async TX","data",1.111777,0.000082,"t",
"Async TX","data",1.111864,0.000082,"x",
"Async TX","data",1.1119505,0.000082,"t",
"Async TX","data",1.1120375,0.000082,"=",
"Async TX","data",1.112124,0.000082,"""",
"Async TX","data",1.112211,0.000082,"0",
"Async TX","data",1.1122975,0.000082,"""",
"Async TX","data",1.1123845,0.000082,"ÿ",
"Async TX","data",1.1124715,0.000082,"ÿ",
"Async TX","data",1.112558,0.000082,"ÿ",
"Async TX","data",1.1228315,0.000082,"t",
"Async TX","data",1.1229185,0.000082,"6",
"Async TX","data",1.123005,0.000082,".",
"Async TX","data",1.123092,0.000082,"t",
"Async TX","data",1.1231785,0.000082,"x",
"Async TX","data",1.1232655,0.000082,"t",
"Async TX","data",1.123352,0.000082,"=",
"Async TX","data",1.123439,0.000082,"""",
"Async TX","data",1.1235255,0.000082,"8",
"Async TX","data",1.1236125,0.000082,"""",
"Async TX","data",1.123699,0.000082,"ÿ",
"Async TX","data",1.1237855,0.000082,"ÿ",
"Async TX","data",1.1238725,0.000082,"ÿ",
"Async TX","data",1.154692,0.000082,"j",
"Async TX","data",1.154779,0.000082,"0",
"Async TX","data",1.1548655,0.000082,".",
"Async TX","data",1.1549525,0.000082,"v",
"Async TX","data",1.155039,0.000082,"a",
"Async TX","data",1.155126,0.000082,"l",
"Async TX","data",1.155213,0.000082,"=",
"Async TX","data",1.1552995,0.000082,"1",
"Async TX","data",1.1553865,0.000082,"ÿ",
"Async TX","data",1.155473,0.000082,"ÿ",
"Async TX","data",1.15556,0.000082,"ÿ",
"Async TX","data",1.1556465,0.000082,"t",
"Async TX","data",1.1557335,0.000082,"0",
"Async TX","data",1.15582,0.000082,".",
"Async TX","data",1.155907,0.000082,"t",
"Async TX","data",1.1559935,0.000082,"x",
"Async TX","data",1.1560805,0.000082,"t",
"Async TX","data",1.156167,0.000082,"=",
"Async TX","data",1.156254,0.000082,"""",
"Async TX","data",1.1563405,0.000082,"1",
"Async TX","data",1.1564275,0.000082,"%",
"Async TX","data",1.156514,0.000082,"""",
"Async TX","data",1.156601,0.000082,"ÿ",
"Async TX","data",1.1566875,0.000082,"ÿ",
"Async TX","data",1.1567745,0.000082,"ÿ",
"Async TX","data",1.177267,0.000082,"j",
"Async TX","data",1.1773535,0.000082,"0",
"Async TX","data",1.1774405,0.000082,".",
"Async TX","data",1.177527,0.000082,"v",
"Async TX","data",1.177614,0.000082,"a",
"Async TX","data",1.177701,0.000082,"l",
"Async TX","data",1.1777875,0.000082,"=",
"Async TX","data",1.1778745,0.000082,"2",
"Async TX","data",1.177961,0.000082,"ÿ",
"Async TX","data",1.178048,0.000082,"ÿ",
"Async TX","data",1.178135,0.000082,"ÿ",
"Async TX","data",1.1782215,0.000082,"t",
"Async TX","data",1.1783085,0.000082,"0",
"Async TX","data",1.178395,0.000082,".",
"Async TX","data",1.178482,0.000082,"t",
"Async TX","data",1.178569,0.000082,"x",
"Async TX","data",1.1786555,0.000082,"t",
"Async TX","data",1.1787425,0.000082,"=",
"Async TX","data",1.178829,0.000082,"""",
"Async TX","data",1.178916,0.000082,"2",
"Async TX","data",1.1790025,0.000082,"%",
"Async TX","data",1.1790895,0.000082,"""",
"Async TX","data",1.179176,0.000082,"ÿ",
"Async TX","data",1.179263,0.000082,"ÿ",
"Async TX","data",1.1793495,0.000082,"ÿ",
"Async TX","data",1.199839,0.000082,"j",
"Async TX","data",1.1999255,0.000082,"0",
"Async TX","data",1.2000125,0.000082,".",
"Async TX","data",1.200099,0.000082,"v",
"Async TX","data",1.200186,0.000082,"a",
"Async TX","data",1.2002725,0.000082,"l",
"Async TX","data",1.2003595,0.000082,"=",
"Async TX","data",1.200446,0.000082,"3",
"Async TX","data",1.200533,0.000082,"ÿ",
"Async TX","data",1.2006195,0.000082,"ÿ",
"Async TX","data",1.2007065,0.000082,"ÿ",
"Async TX","data",1.200793,0.000082,"t",
"Async TX","data",1.20088,0.000082,"0",
"Async TX","data",1.2009665,0.000082,".",
"Async TX","data",1.201053,0.000082,"t",
"Async TX","data",1.20114,0.000082,"x",
"Async TX","data",1.2012265,0.000082,"t",
"Async TX","data",1.2013135,0.000082,"=",
"Async TX","data",1.2014,0.000082,"""",
"Async TX","data",1.201487,0.000082,"3",
"Async TX","data",1.2015735,0.000082,"%",
"Async TX","data",1.20166,0.000082,"""",
"Async TX","data",1.201747,0.000082,"ÿ",
